experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,2048,O0,coluna,12,31.245151,207617856.00
linha_coluna,2048,O0,linha,13,7.587075,207617856.00
linha_coluna,2048,O0,coluna,13,31.568155,207617856.00
linha_coluna,2048,O0,linha,14,7.571287,207617856.00
linha_coluna,2048,O0,coluna,14,26.699311,207617856.00
linha_coluna,2048,O0,linha,15,7.595952,207617856.00
linha_coluna,2048,O0,coluna,15,25.922635,207617856.00
linha_coluna,2048,O0,linha,16,7.598398,207617856.00
linha_coluna,2048,O0,coluna,16,27.584285,207617856.00
linha_coluna,2048,O0,linha,17,7.616401,207617856.00
linha_coluna,2048,O0,coluna,17,27.415428,207617856.00
linha_coluna,2048,O0,linha,18,7.579527,207617856.00
linha_coluna,2048,O0,coluna,18,27.043834,207617856.00
linha_coluna,2048,O0,linha,19,7.664920,207617856.00
linha_coluna,2048,O0,coluna,19,30.133141,207617856.00
linha_coluna,2048,O0,linha,20,7.567046,207617856.00
linha_coluna,2048,O0,coluna,20,26.820561,207617856.00
linha_coluna,2048,O0,linha,21,7.593812,207617856.00
linha_coluna,2048,O0,coluna,21,27.095327,207617856.00
linha_coluna,2048,O0,linha,22,7.518160,207617856.00
linha_coluna,2048,O0,coluna,22,25.479911,207617856.00
linha_coluna,2048,O0,linha,23,7.541361,207617856.00
linha_coluna,2048,O0,coluna,23,29.037833,207617856.00
linha_coluna,2048,O0,linha,24,7.544963,207617856.00
linha_coluna,2048,O0,coluna,24,28.525469,207617856.00
linha_coluna,2048,O0,linha,25,7.529010,207617856.00
linha_coluna,2048,O0,coluna,25,26.020689,207617856.00
linha_coluna,2048,O0,linha,26,7.599043,207617856.00
linha_coluna,2048,O0,coluna,26,27.980145,207617856.00
linha_coluna,2048,O0,linha,27,7.543354,207617856.00
linha_coluna,2048,O0,coluna,27,27.077351,207617856.00
linha_coluna,2048,O0,linha,28,7.569227,207617856.00
linha_coluna,2048,O0,coluna,28,26.461059,207617856.00
linha_coluna,2048,O0,linha,29,7.597830,207617856.00
linha_coluna,2048,O0,coluna,29,28.507058,207617856.00
linha_coluna,2048,O0,linha,30,7.569093,207617856.00
linha_coluna,2048,O0,coluna,30,28.660188,207617856.00
linha_coluna,4096,O0,linha,1,30.326425,830471520.00
linha_coluna,4096,O0,coluna,1,196.732609,830471520.00
linha_coluna,4096,O0,linha,2,30.163556,830471520.00
linha_coluna,4096,O0,coluna,2,193.079773,830471520.00
linha_coluna,4096,O0,linha,3,30.593495,830471520.00
linha_coluna,4096,O0,coluna,3,192.120821,830471520.00
linha_coluna,4096,O0,linha,4,30.084361,830471520.00
linha_coluna,4096,O0,coluna,4,191.730315,830471520.00
linha_coluna,4096,O0,linha,5,30.091248,830471520.00
linha_coluna,4096,O0,coluna,5,189.906545,830471520.00
linha_coluna,4096,O0,linha,6,30.141632,830471520.00
linha_coluna,4096,O0,coluna,6,188.320091,830471520.00
linha_coluna,4096,O0,linha,7,30.185037,830471520.00
linha_coluna,4096,O0,coluna,7,188.210220,830471520.00
linha_coluna,4096,O0,linha,8,30.188898,830471520.00
linha_coluna,4096,O0,coluna,8,191.353551,830471520.00
linha_coluna,4096,O0,linha,9,30.133952,830471520.00
linha_coluna,4096,O0,coluna,9,189.682669,830471520.00
linha_coluna,4096,O0,linha,10,30.065792,830471520.00
linha_coluna,4096,O0,coluna,10,188.835384,830471520.00
linha_coluna,4096,O0,linha,11,30.026992,830471520.00
linha_coluna,4096,O0,coluna,11,189.972476,830471520.00
linha_coluna,4096,O0,linha,12,30.193186,830471520.00
linha_coluna,4096,O0,coluna,12,188.787909,830471520.00
linha_coluna,4096,O0,linha,13,30.152276,830471520.00
linha_coluna,4096,O0,coluna,13,187.721917,830471520.00
linha_coluna,4096,O0,linha,14,30.155425,830471520.00
linha_coluna,4096,O0,coluna,14,191.140332,830471520.00
linha_coluna,4096,O0,linha,15,29.991771,830471520.00
linha_coluna,4096,O0,coluna,15,191.810019,830471520.00
linha_coluna,4096,O0,linha,16,30.092908,830471520.00
linha_coluna,4096,O0,coluna,16,187.704268,830471520.00
linha_coluna,4096,O0,linha,17,30.012352,830471520.00
linha_coluna,4096,O0,coluna,17,192.155954,830471520.00
linha_coluna,4096,O0,linha,18,30.124322,830471520.00
linha_coluna,4096,O0,coluna,18,192.586924,830471520.00
linha_coluna,4096,O0,linha,19,30.057252,830471520.00
linha_coluna,4096,O0,coluna,19,188.267336,830471520.00
linha_coluna,4096,O0,linha,20,30.185791,830471520.00
linha_coluna,4096,O0,coluna,20,188.479881,830471520.00
linha_coluna,4096,O0,linha,21,30.568325,830471520.00
linha_coluna,4096,O0,coluna,21,212.556457,830471520.00
linha_coluna,4096,O0,linha,22,40.269329,830471520.00
linha_coluna,4096,O0,coluna,22,197.706131,830471520.00
linha_coluna,4096,O0,linha,23,30.150984,830471520.00
linha_coluna,4096,O0,coluna,23,213.884857,830471520.00
linha_coluna,4096,O0,linha,24,37.180197,830471520.00
linha_coluna,4096,O0,coluna,24,200.032271,830471520.00
linha_coluna,4096,O0,linha,25,30.494493,830471520.00
linha_coluna,4096,O0,coluna,25,212.324411,830471520.00
linha_coluna,4096,O0,linha,26,31.154923,830471520.00
linha_coluna,4096,O0,coluna,26,208.020811,830471520.00
linha_coluna,4096,O0,linha,27,30.346507,830471520.00
linha_coluna,4096,O0,coluna,27,197.698780,830471520.00
linha_coluna,4096,O0,linha,28,30.152187,830471520.00
linha_coluna,4096,O0,coluna,28,197.061804,830471520.00
linha_coluna,4096,O0,linha,29,30.050891,830471520.00
linha_coluna,4096,O0,coluna,29,193.818281,830471520.00
linha_coluna,4096,O0,linha,30,30.187944,830471520.00
linha_coluna,4096,O0,coluna,30,189.129000,830471520.00
linha_coluna,512,O2,linha,1,0.114409,12974896.00
linha_coluna,512,O2,coluna,1,0.549565,12974896.00
linha_coluna,512,O2,linha,2,0.116924,12974896.00
linha_coluna,512,O2,coluna,2,0.557045,12974896.00
linha_coluna,512,O2,linha,3,0.117779,12974896.00
linha_coluna,512,O2,coluna,3,0.557315,12974896.00
linha_coluna,512,O2,linha,4,0.114250,12974896.00
linha_coluna,512,O2,coluna,4,0.548799,12974896.00
linha_coluna,512,O2,linha,5,0.116815,12974896.00
linha_coluna,512,O2,coluna,5,0.589044,12974896.00
linha_coluna,512,O2,linha,6,0.114268,12974896.00
linha_coluna,512,O2,coluna,6,0.613796,12974896.00
linha_coluna,512,O2,linha,7,0.114254,12974896.00
linha_coluna,512,O2,coluna,7,0.613027,12974896.00
linha_coluna,512,O2,linha,8,0.116900,12974896.00
linha_coluna,512,O2,coluna,8,0.625898,12974896.00
linha_coluna,512,O2,linha,9,0.129784,12974896.00
linha_coluna,512,O2,coluna,9,0.547269,12974896.00
linha_coluna,512,O2,linha,10,0.114288,12974896.00
linha_coluna,512,O2,coluna,10,0.557772,12974896.00
linha_coluna,512,O2,linha,11,0.114270,12974896.00
linha_coluna,512,O2,coluna,11,0.562010,12974896.00
